word,count
غلبه,19
احساس,351
میتونه,273
آخر,371
عمرت,18
خودتو,143
کنی,704
کتابهای,18
درسی,33
دیگر,885
مملو,12
آموزه,35
دینی,192
نخواهد,188
سعی,253
کردم,1187
پیام,309
نشد.,38
امکان,136
لطف,176
کنید,1986
پیامی,27
بدهید.,11
چند,1490
سوال,424
دارم.,124
اسرار,18
؛,305
زيرا,16
اين,1718
هیاهوی,12
متهم,157
آزادیخواهان,13
خشونت,197
#ماله_کش,11
ها،,116
افتخار,243
پیشنهاد,272
قرن,93
آزاد،,32
حجاب,2267
#دختر,28
می‌کند.,129
اولین,493
مانع,142
حکومته,12
ازش,429
وی,314
باهاتون,30
مگه,572
دختری,219
روسریشو,22
برداشت,109
تبدیل,326
نماد,176
ملی,558
سطل,88
آتیش,87
زد؟,12
کردین؟,11
مسالمت,56
آمیز,82
اونم,337
بود؟!,20
برام,331
گل,502
شیرینی,68
میومد,77
بهش,910
جواب,755
رد,400
نکبت,20
@ma30mo,49
عكس,109
قدیمی,93
خط,286
آهن,40
مالیات,47
زیاد,444
جیب,111
مردم,4779
باعث,444
اتمام,31
جنگ,568
دوم,404
نفع,115
دروغ,378
میگی,212
میترسم,58
ازت,121
روزهای,148
سفارت,45
اسراییل,41
کاخ,73
دادند.,59
ده,462
کیلو,35
طلا,79
روزی,562
عراق,154
شروع,773
کمک,649
گفت:,208
ماست,246
صدام,95
برادر,235
ماست!,14
منطقه‌ای,11
ج.ا,332
هنوز,1113
رژيم,78
ولایت,282
فقیه,139
بايد,407
بفهمد,13
بخاطر,542
شليك,11
روي,48
كشتن,12
آنها,719
زير,118
شكنجه,19
قيمت,21
بدون,1258
واردات,31
صادرات,31
شفاف,63
موظف,21
شاهد,172
حوادث,33
نخواهيم,14
@faridebrahimi62,21
توهین,418
غیبت,35
ناتوانی,23
افراد,466
البته,844
ادبیات,76
امثال,265
انتظار,323
داشت,690
عفو,43
بین‌الملل,10
انتشار,124
گزارشی,35
خواستار,153
آزادی,1326
فوری,300
قید,58
شرط,125
عمل,444
اعتراضی,234
مسالمت‌آمیز,19
علیه,759
اجباری,1088
۲۷,20
دسامبر,11
كسى,78
هستى,26
قطع,233
وقتى,104
توييتر,47
ميشى,12
كلا,40
صحبت,357
نسبت,386
ديگران,42
تغيير,53
جمع,592
گفتم,793
فلان,229
بهم,527
مثه,130
آدم,1056
بزن,250
ديگه,410
نمونده,34
بجای,192
آنکه,141
خودمان,102
مناطق,180
شود،,115
کشورهای,171
می‌شود.,103
ثروت,76
مردم،,65
شود.,305
لیست,162
خدمات,87
پهلوی,331
حتی,1370
مقابل,429
ترور,99
جاعش,29
هم...,12
کارزار,19
دانلود,129
برنامه,596
اندروید,21
اینستاگرام,114
مال,320
صفحه,143
ندارم.,79
گربه,119
کنسرت,95
حقی,46
آن.,19
نیستم.,29
دوستانی,50
انگار,497
باشد،,104
دامن,63
بعضی,442
موقعها,16
انتقاد,231
مجموعه,145
باهم,204
ببینید,238
نقطه,145
رو،,26
ایرادی,28
فرهنگ,271
زمانی,327
بودیم,235
میکردیم,40
دکتری,188
فیزیک,17
دکتر,423
کرامت,28
یوسفی,13
هشت,116
کوشش,10
آذر,25
همتی,14
کسانی,414
گرفتم,206
میکشید,26
صداسیما,10
مرکز,120
فساد,238
درگیر,146
م,140
ریتوییت,338
اسیر,59
ممه,56
@Fatemem12,12
ادما,40
اذیت,107
ندی,15
تحمل,211
گنده,67
نکن،,14
زندگیت,47
لذت,229
@NahidSeif,12
نظرسنجی,194
برداشتم,20
احتمال,127
قبل,801
خامنه,341
ای,3584
خودمو,111
بکشن,21
رییس,228
جمهور,183
متاسفانه,288
بسیاری,178
اروپایی,33
ملل,158
تاکنون,47
درمورد,73
بحران,330
رشد,141
قویا,13
نگفته,56
رهبران,48
میخواهیم,32
#دیکتاتور,32
محکوم,261
واز,30
مسلم,43
انتخاب,660
کی,1128
گفته,778
نمونه,146
اش,559
تنهام,19
ناهار,48
عهده,63
خودمه,17
رل,44
زدن,671
کراش,128
میزنید,63
آخه؟!,10
@sadeghZibakalam,126
اقای,147
کلام,155
میلیاردها,27
جهت,295
زلزله,420
زدگان,73
کرمانشاه,243
حساب,453
بانکی,55
اعلام,592
میخواهد,59
کتابخانه,34
ایشون,350
فقر,143
مشکلات,237
شاید,825
فعلا,153
سود,105
پولها,18
صرفه,13
دارد.,238
احمد,240
خاتمی,287
فضای,347
راست,251
آدمی,104
آنچه,234
میبینه,55
😂😂😂😂😂😂,12
بش,39
فلانی,58
تونستی,11
خودت,801
نبود,558
ناراحتم,30
فردا,852
هفت,279
پاشم,25
سرکار,83
حد,307
حصر,148
نداره.,148
خدایا,201
بقیه,563
بکش,80
اعضای,122
گروه,332
کاغذ,30
دیوار,164
بدن,318
میشن,240
دیواری,11
منم,992
سالهاست,67
امید,448
عکس,1113
دسته,194
جمعی,142
خواهران,31
قد,108
بلنده,10
مشهد،,14
بلوار,29
۹۶,204
تکثیر,149
مخالفت,187
انقلاب.,13
#قيام_تا_پيروزى_ادامه_دارد,234
سلمان,17
مع,36
وان,34
اسم,819
#عرزشی,47
برابر,496
بودند,320
توييت,96
هاى,160
ویدیو,99
آفرین,112
#اصفهان,153
چهل,215
آغوش,72
خویش,103
زندگی,1531
کند,609
رحم,87
ِ,150
مادرش,63
احمدي,10
نژاد,186
مهر,138
فراموش,375
نكن,29
#موسسه_کاسپین,17
همين,198
بدست,144
مجوز,96
امین,60
نفر,1026
اشک,111
دانشجو,91
همینطور,80
20,97
درس,321
بخونی,25
نداشته,338
کنار،,11
بشی,98
#قیام_بهمن,2942
واقعا.,15
میخوان,164
روسری,424
کنن,592
کلیپ,116
بسازن,24
پولدار,41
بشن,171
برن,144
کارا,40
رباط,12
آقا.,10
فیلترشکن,17
دسترسی,73
ندارین,25
راحت,284
میتونید,93
#ریتوییت,362
کنین,314
فیلتر,98
شکن,37
دارن,1017
باهاش,271
آشنا,116
شن.,13
نظرم,258
گشاد,26
هار,56
شنیدن,86
صدای,761
فضا,69
انعکاس,25
دهنده,91
مطالبات,92
#فضای_مجازی,19
بسیار,442
است!,285
وحشت,117
سرنگون,73
#قیام_بهمن۹۶,246
#برپاخیز,26
اعصاب,96
خورد,215
کن,1374
ضرب,155
شتم,101
#آتنا_دائمی,185
ماموران,108
مزدور,73
ج,143
ا,150
انتقال,199
قرچک,154
ورامین,58
دومی,62
ابلاغ,27
حکم,498
#اعدام,70
#رامین_حسین‌پناهی,25
خانواده,545
امروزم,22
ترجیح,109
میدم,230
شب,1176
چک,98
نکنم,76
تاثیر,141
نشون,426
توپخانه,14
سنگر,27
نیز,420
تقویت,39
گسترش,120
دامنه,16
پیشروی,25
تلاش,400
کنیم.,196
#انقلاب,86
#اعتراضات_سراسری,260
#جنتی,40
#سگ_هار,10
شبهای,14
جمعه,455
گیرم,95
غریبی,24
بیچاره,103
اونکه,21
حرم,64
ندیده,89
دید,192
وای,237
یادش,102
فلافل,11
تازه,590
مهربون,55
عراقی,22
برامون,67
آورد,121
اللهم,37
توفیق,18
یوم,15
دی,217
شو,207
بده,799
عذرخواهی,94
عرق,43
شرم,109
میریزم,12
شت,38
طبق,217
قانون,1593
حفظ,279
بشه.,130
میخواد,358
۷۰,54
میلیون,397
نفرو,32
کشته,297
یدونه,25
نون,180
دزدیده,17
حقوقش,25
رعایت,170
بشه,978
دادگاه,342
صالح,22
محاکمه,100
حکمش,11
اجرا,489
مجرم,49
ممنوعه,16
استادیوم,40
رفتن,437
گشت,108
ارشاد,59
میشد,259
نوع,291
مریض,106
مجانی,77
باشه.,225
پرونده,398
#طاهری,34
دلیلی,70
فی,123
چریک,10
فدایی,19
اتهام,172
اینبار,72
قصد,190
دارند,538
امنیتی,308
دلایل,76
جدیدی,93
چوبه,19
موفقیت,56
تئاتر,49
نخواهند,70
میکنید,246
غرور,56
دارید,360
فالو,202
یکم,237
دندون,42
جیگر,16
بگیرید,147
ببینم,220
نظر,1227
قبول,439
قابل,428
پیش‌بینی,20
قوی,113
پسر,466
قایق,12
میخواستن,26
شه,410
کاملا,255
بی‌تفاوت,15
بودم.,64
داستانش,10
گره,76
نکردم.,19
پدری,43
شرمنده,74
کتاب,434
نزنه,27
بره,419
